receita_federal,ibge,nome,uf
4023,310120,Aiuruoca,MG
4025,310130,Alagoa,MG
4027,310140,Albertina,MG
4031,310160,Alfenas,MG
4037,310190,Alpinópolis,MG
4039,310200,Alterosa,MG
4051,310260,Andradas,MG
4055,310280,Andrelândia,MG
4071,310360,Arantina,MG
4081,310410,Arceburgo,MG
4085,310430,Areado,MG
4097,310490,Baependi,MG
4105,310530,Bandeira do Sul,MG
4141,310710,Boa Esperança,MG
4143,310720,Bocaina de Minas,MG
4149,310750,Bom Jardim de Minas,MG
4151,310760,Bom Jesus da Penha,MG
4157,310790,Bom Repouso,MG
4165,310830,Borda da Mata,MG
4167,310840,Botelhos,MG
4177,310890,Brazópolis,MG
4181,310910,Bueno Brandão,MG
4189,310950,Cabo Verde,MG
4193,310970,Cachoeira de Minas,MG
4205,311030,Caldas,MG
4209,311050,Camanducaia,MG
4211,311060,Cambuí,MG
4213,311070,Cambuquira,MG
4217,311090,Campanha,MG
4219,311100,Campestre,MG
4225,311130,Campo do Meio,MG
4231,311160,Campos Gerais,MG
4247,311240,Capetinga,MG
4255,311280,Capitólio,MG
4271,311360,Careaçu,MG
4277,311390,Carmo da Cachoeira,MG
4281,311410,Carmo de Minas,MG
4287,311440,Carmo do Rio Claro,MG
4293,311470,Carvalhópolis,MG
4295,311480,Carvalhos,MG
4301,311510,Cássia,MG
4309,311550,Caxambu,MG
4327,311640,Claraval,MG
4341,311710,Conceição da Aparecida,MG
4343,311720,Conceição das Pedras,MG
4353,311770,Conceição do Rio Verde,MG
4355,311780,Conceição dos Ouros,MG
4357,311790,Congonhal,MG
4369,311850,Consolação,MG
4373,311870,Coqueiral,MG
4379,311900,Cordislândia,MG
4397,311990,Córrego do Bom Jesus,MG
4409,312050,Cristina,MG
4415,312080,Cruzília,MG
4421,312110,Delfim Moreira,MG
4423,312120,Delfinópolis,MG
4447,312240,Divisa Nova,MG
4455,312280,Dom Viçoso,MG
4471,312360,Elói Mendes,MG
4487,312440,Espírito Santo do Dourado,MG
4489,312450,Estiva,MG
4501,312510,Extrema,MG
4503,312520,Fama,MG
4525,312630,Fortaleza de Minas,MG
4547,312740,Gonçalves,MG
4561,312810,Guapé,MG
4565,312830,Guaranésia,MG
4573,312870,Guaxupé,MG
4583,312920,Heliodora,MG
4593,312970,Ibiraci,MG
4597,312990,Ibitiúra de Minas,MG
4609,313050,Ilicínea,MG
4611,313060,Inconfidentes,MG
4629,313150,Ipuiúna,MG
4647,313240,Itajubá,MG
4657,313290,Itamogi,MG
4659,313300,Itamonte,MG
4661,313310,Itanhandu,MG
4671,313360,Itapeva,MG
5731,313375,Itaú de Minas,MG
4695,313480,Jacuí,MG
4697,313490,Jacutinga,MG
4717,313590,Jesuânia,MG
4737,313690,Juruaia,MG
4755,313780,Lambari,MG
4769,313850,Liberdade,MG
4779,313900,Machado,MG
4797,313990,Maria da Fé,MG
4807,314040,Marmelópolis,MG
4837,314190,Minduri,MG
4851,314260,Monsenhor Paulo,MG
4859,314300,Monte Belo,MG
4863,314320,Monte Santo de Minas,MG
4867,314340,Monte Sião,MG
4875,314380,Munhoz,MG
4881,314410,Muzambinho,MG
4887,314440,Natércia,MG
4901,314510,Nova Resende,MG
4909,314550,Olímpio Noronha,MG
4919,314600,Ouro Fino,MG
4943,314720,Paraguaçu,MG
4945,314730,Paraisópolis,MG
4951,314760,Passa Quatro,MG
4955,314780,Passa Vinte,MG
4957,314790,Passos,MG
4981,314910,Pedralva,MG
5017,315090,Piranguçu,MG
5019,315100,Piranguinho,MG
5033,315170,Poço Fundo,MG
5035,315180,Poços de Caldas,MG
5049,315250,Pouso Alegre,MG
5051,315260,Pouso Alto,MG
5057,315290,Pratápolis,MG
5183,315920,Santa Rita de Caldas,MG
5191,315960,Santa Rita do Sapucaí,MG
5165,315830,Santana da Vargem,MG
5215,316080,São Bento Abade,MG
5239,316200,São Gonçalo do Sapucaí,MG
5243,316220,São João Batista do Glória,MG
5245,316230,São João da Mata,MG
724,316294,São José da Barra,MG
5263,316320,São José do Alegre,MG
5273,316370,São Lourenço,MG
5277,316390,São Pedro da União,MG
5287,316440,São Sebastião da Bela Vista,MG
5293,316470,São Sebastião do Paraíso,MG
5297,316490,São Sebastião do Rio Verde,MG
5301,316510,São Tomás de Aquino,MG
5303,316520,São Tomé das Letras,MG
5305,316530,São Vicente de Minas,MG
5307,316540,Sapucaí-Mirim,MG
2689,316557,Senador Amaral,MG
5315,316580,Senador José Bento,MG
5327,316640,Seritinga,MG
5337,316690,Serrania,MG
5339,316700,Serranos,MG
5347,316740,Silvianópolis,MG
5355,316780,Soledade de Minas,MG
740,316905,Tocos do Moji,MG
5381,316910,Toledo,MG
5385,316930,Três Corações,MG
5387,316940,Três Pontas,MG
5395,316980,Turvolândia,MG
5413,317070,Varginha,MG
5435,317170,Virgínia,MG
7943,317220,Wenceslau Braz,MG
